year,temp_anomaly
100,-0.2536
101,-0.2043
102,-0.1939
103,-0.1717
104,-0.2135
105,-0.197
106,-0.2507
107,-0.1999
108,-0.2344
109,-0.3099
110,-0.1205
111,-0.1289
112,-0.2505
113,-0.2626
114,-0.2088
115,-0.1689
116,-0.1928
117,-0.0928
118,-0.2177
119,-0.2564
120,-0.1828
121,-0.1978
122,-0.2038
123,-0.3094
124,-0.1496
125,-0.1463
126,-0.2722
127,-0.2302
128,-0.2651
129,-0.2198
130,-0.2959
131,-0.1299
132,-0.2245
133,-0.2833
134,-0.2159
135,-0.1918
136,-0.1433
137,-0.1906
138,-0.2121
139,-0.1188
140,-0.0559
141,-0.1851
142,-0.193
143,-0.1556
144,-0.1854
145,-0.1168
146,-0.2179
147,-0.1219
148,-0.1809
149,-0.1539
150,-0.2813
151,-0.2022
152,-0.2027
153,-0.1506
154,-0.1484
155,-0.1105
156,-0.1529
157,-0.136
158,-0.1565
159,-0.1226
160,-0.0808
161,-0.1039
162,-0.1006
163,-0.2182
164,-0.1603
165,-0.2266
166,-0.2915
167,-0.2601
168,-0.2463
169,-0.254
170,-0.2726
171,-0.2259
172,-0.2165
173,-0.158
174,-0.3035
175,-0.3108
176,-0.2169
177,-0.2549
178,-0.3179
179,-0.369
180,-0.3631
181,-0.2901
182,-0.3337
183,-0.2999
184,-0.2739
185,-0.2693
186,-0.2307
187,-0.2691
188,-0.229
189,-0.2789
190,-0.2518
191,-0.1419
192,-0.3069
193,-0.2655
194,-0.1351
195,-0.1712
196,-0.1061
197,-0.0595
198,-0.1865
199,-0.2298
200,-0.2298
201,-0.2669
202,-0.2481
203,-0.3237
204,-0.1912
205,-0.2118
206,-0.1384
207,-0.1933
208,-0.2693
209,-0.1053
210,-0.1289
211,-0.1575
212,-0.1397
213,-0.1578
214,-0.2369
215,-0.2364
216,-0.2057
217,-0.1608
218,-0.2225
219,-0.208
220,-0.2375
221,-0.2671
222,-0.187
223,-0.185
224,-0.1572
225,-0.1339
226,-0.168
227,-0.1588
228,-0.2631
229,-0.1609
230,-0.2513
231,-0.1922
232,-0.1911
233,-0.1867
234,-0.2288
235,-0.1927
236,-0.1904
237,-0.1653
238,-0.1326
239,-0.0648
240,-0.166
241,-0.0989
242,-0.085
243,-0.1174
244,-0.0279
245,-0.0324
246,-0.04
247,-0.0326
248,-0.0855
249,-0.056
